,fluorophore,site,sample.type,substrate,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se
300,AMC,norris dam,whole,Leu-AMC,3,14126.33333,100837.16,NA,NA,NA,1,2,1228.72268,11.49676291,NA
301,AMC,norris dam,whole,GGR-AMC,1,6230.253333,191508.57,NA,NA,NA,1,2,1228.72268,5.070512195,NA
302,AMC,norris dam,whole,GGR-AMC,2,7732.734783,210776.21,NA,NA,NA,1,2,1228.72268,6.293311671,NA
303,AMC,norris dam,whole,GGR-AMC,3,5975.634783,204176.28,NA,NA,NA,1,2,1228.72268,4.863290049,NA
304,AMC,norris dam,whole,GGR-AMC,k,-2681.306667,192570.73,NA,NA,NA,1,2,1228.72268,-2.182190262,NA
305,MUB,cove lake,filter,MUB-gluco,1,1236.169565,3600.74,NA,NA,NA,1,2,50.529215,24.4644522,NA
306,MUB,cove lake,filter,MUB-gluco,2,1266.453333,3599.36,NA,NA,NA,1,2,50.529215,25.06378406,NA
307,MUB,cove lake,filter,MUB-gluco,3,1218.391304,3467.33,NA,NA,NA,1,2,50.529215,24.11261098,NA
308,MUB,cove lake,filter,MUB-gluco,k,-2.882608696,2596.55,NA,NA,NA,1,2,50.529215,-0.057048357,NA
309,MUB,cove lake,filter,MUB-Phos,1,816.4304348,39252.46,NA,NA,NA,1,2,50.529215,16.1575919,NA
310,MUB,cove lake,filter,MUB-Phos,2,1114.813043,38532.67,NA,NA,NA,1,2,50.529215,22.06274219,NA
311,MUB,cove lake,filter,MUB-Phos,3,780.9866667,39547.72,NA,NA,NA,1,2,50.529215,15.4561409,NA
312,MUB,cove lake,filter,MUB-Phos,k,-493.2652174,45000.33,NA,NA,NA,1,2,50.529215,-9.761980616,NA
313,MUB,cove lake,whole,MUB-gluco,1,13322.29565,15472.12,NA,NA,NA,1,2,115.073775,115.771779,NA
314,MUB,cove lake,whole,MUB-gluco,2,2942.686957,6034.86,NA,NA,NA,1,2,115.073775,25.57217712,NA
315,MUB,cove lake,whole,MUB-gluco,3,5424.769565,7921.64,NA,NA,NA,1,2,115.073775,47.14166686,NA
316,MUB,cove lake,whole,MUB-gluco,k,3.560869565,2380.61,NA,NA,NA,1,2,115.073775,0.030944232,NA
317,MUB,cove lake,whole,MUB-Phos,1,4914.866667,43785.45,NA,NA,NA,1,2,115.073775,42.71057125,NA
318,MUB,cove lake,whole,MUB-Phos,2,10467.91304,55944.36,NA,NA,NA,1,2,115.073775,90.96697352,NA
319,MUB,cove lake,whole,MUB-Phos,3,6226.669565,48421.81,NA,NA,NA,1,2,115.073775,54.11023985,NA
320,MUB,cove lake,whole,MUB-Phos,k,-377.7333333,41686.03,NA,NA,NA,1,2,115.073775,-3.282531866,NA
321,MUB,norris dam,filter,MUB-gluco,1,214.6933333,1846.27,NA,NA,NA,1,2,31.475245,6.821021833,NA
322,MUB,norris dam,filter,MUB-gluco,2,193.2913043,1773.8,NA,NA,NA,1,2,31.475245,6.141057976,NA
323,MUB,norris dam,filter,MUB-gluco,3,190.226087,1815.14,NA,NA,NA,1,2,31.475245,6.043672955,NA
324,MUB,norris dam,filter,MUB-gluco,k,15.06666667,2068.29,NA,NA,NA,1,2,31.475245,0.478683062,NA
325,MUB,norris dam,filter,MUB-Phos,1,231.7434783,40778.04,NA,NA,NA,1,2,31.475245,7.362721982,NA
326,MUB,norris dam,filter,MUB-Phos,2,67.05652174,40895.03,NA,NA,NA,1,2,31.475245,2.130452733,NA
327,MUB,norris dam,filter,MUB-Phos,3,-267.5361702,41202.9,NA,NA,NA,1,2,31.475245,-8.499891588,NA
328,MUB,norris dam,filter,MUB-Phos,k,-217.0468085,40762.92,NA,NA,NA,1,2,31.475245,-6.895794092,NA
329,MUB,norris dam,whole,MUB-gluco,1,258.7695652,1622.09,NA,NA,NA,1,2,44.22845,5.850749127,NA
330,MUB,norris dam,whole,MUB-gluco,2,324.72,1965.46,NA,NA,NA,1,2,44.22845,7.341880622,NA
331,MUB,norris dam,whole,MUB-gluco,3,320.673913,1905.28,NA,NA,NA,1,2,44.22845,7.250399077,NA
332,MUB,norris dam,whole,MUB-gluco,k,-2.465217391,1609.95,NA,NA,NA,1,2,44.22845,-0.055738272,NA
333,MUB,norris dam,whole,MUB-Phos,1,162.4956522,37793.79,NA,NA,NA,1,2,44.22845,3.674007391,NA
334,MUB,norris dam,whole,MUB-Phos,2,967.5521739,41512.34,NA,NA,NA,1,2,44.22845,21.8762397,NA
335,MUB,norris dam,whole,MUB-Phos,3,659.4,43848.1,NA,NA,NA,1,2,44.22845,14.90895566,NA
336,MUB,norris dam,whole,MUB-Phos,k,-95.89565217,39625.25,NA,NA,NA,1,2,44.22845,-2.168189303,NA
337,AMC,second creek,filter,Arg-AMC,1,23836.93953,129942.04,NA,NA,NA,1,2,1086.31059,21.94302417,NA
338,AMC,second creek,filter,Arg-AMC,2,20424.83721,127269.05,NA,NA,NA,1,2,1086.31059,18.80202347,NA
339,AMC,second creek,filter,Arg-AMC,3,24910.45116,126129.71,NA,NA,NA,1,2,1086.31059,22.93124213,NA
340,AMC,second creek,filter,Arg-AMC,k,1365.139535,100793.93,NA,NA,NA,1,2,1086.31059,1.25667516,NA
341,AMC,second creek,filter,Leu-AMC,2,21094.77209,133338.03,NA,NA,NA,1,2,1086.31059,19.41873005,NA
342,AMC,second creek,filter,Leu-AMC,3,20787.55814,125165.75,NA,NA,NA,1,2,1086.31059,19.13592515,NA
343,AMC,second creek,filter,Leu-AMC,k,13.13023256,111177.39,NA,NA,NA,1,2,1086.31059,0.012086997,NA
344,AMC,second creek,filter,GGR-AMC,2,69483.1814,276909.03,NA,NA,NA,1,2,1086.31059,63.96253708,NA
345,AMC,second creek,filter,Gly-AMC,1,20749.42326,219797.04,NA,NA,NA,1,2,1086.31059,19.1008202,NA
346,AMC,second creek,filter,Gly-AMC,2,14599.35349,220528.23,NA,NA,NA,1,2,1086.31059,13.43939166,NA
347,AMC,second creek,filter,Gly-AMC,3,17509.81395,218424.06,NA,NA,NA,1,2,1086.31059,16.11860744,NA
348,AMC,second creek,filter,Gly-AMC,k,3874.786047,185851.71,NA,NA,NA,1,2,1086.31059,3.566922832,NA
349,AMC,second creek,filter,Pyr-AMC,2,1803.027907,138083.76,NA,NA,NA,1,2,1086.31059,1.659772006,NA
350,AMC,second creek,filter,Pyr-AMC,3,1689.376744,140597.04,NA,NA,NA,1,2,1086.31059,1.555150764,NA
351,AMC,second creek,filter,Pyr-AMC,k,2643.32093,151500.29,NA,NA,NA,1,2,1086.31059,2.433301263,NA
352,AMC,second creek,filter,GGR-AMC,1,75591.97674,269055.78,NA,NA,NA,1,2,1086.31059,69.58597057,NA
353,AMC,second creek,filter,Leu-AMC,1,21913.33953,136285.95,NA,NA,NA,1,2,1086.31059,20.17225988,NA
354,AMC,second creek,filter,GGR-AMC,3,70022.35814,277072.37,NA,NA,NA,1,2,1086.31059,64.45887464,NA
355,AMC,second creek,filter,GGR-AMC,k,-1878.948837,178621.48,NA,NA,NA,1,2,1086.31059,-1.729660794,NA
356,AMC,second creek,filter,Pyr-AMC,1,2776.632558,147692.9,NA,NA,NA,1,2,1086.31059,2.556020887,NA
357,AMC,second creek,whole,Gly-AMC,k,7560.111628,188113.85,NA,NA,NA,1,2,1077.287015,7.017732065,NA
358,AMC,second creek,whole,Arg-AMC,1,23288.80465,127951.59,NA,NA,NA,1,2,1077.287015,21.61801296,NA
359,AMC,second creek,whole,Arg-AMC,2,25164.32093,128555.44,NA,NA,NA,1,2,1077.287015,23.35897544,NA
360,AMC,second creek,whole,Leu-AMC,k,584.7348837,108904.5,NA,NA,NA,1,2,1077.287015,0.542784676,NA
361,AMC,second creek,whole,Arg-AMC,k,-193.6046512,101814.25,NA,NA,NA,1,2,1077.287015,-0.179715014,NA
362,AMC,second creek,whole,Gly-AMC,1,17942.24651,217752.82,NA,NA,NA,1,2,1077.287015,16.65502903,NA
363,AMC,second creek,whole,Gly-AMC,2,19617.79535,223404.93,NA,NA,NA,1,2,1077.287015,18.21037019,NA
364,AMC,second creek,whole,Gly-AMC,3,21446.90233,217297.75,NA,NA,NA,1,2,1077.287015,19.90825289,NA
365,AMC,second creek,whole,Pyr-AMC,1,12709.31163,153587.89,NA,NA,NA,1,2,1077.287015,11.79751677,NA
366,AMC,second creek,whole,Pyr-AMC,2,1879.869767,138326.01,NA,NA,NA,1,2,1077.287015,1.745003645,NA
