treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
F,1,1,145252.81,13:38,2/10/17,3,11:32,2/10/17,AMC
A,2,1,128436.68,10:41,2/13/17,6,10:08,2/13/17,AMC
A,3,3,145670.96,12:24,2/10/17,3,11:32,2/10/17,AMC
B,3,2,145918.65,12:23,2/22/17,15,9:41,2/22/17,AMC
B,3,2,146394.6,11:16,2/15/17,8,9:58,2/15/17,AMC
C,3,1,146442.48,13:08,2/20/17,13,11:01,2/20/17,AMC
A,1,3,146516.89,13:05,2/10/17,3,11:32,2/10/17,AMC
A,3,3,146574.96,13:07,2/8/17,1,11:22,2/8/17,AMC
A,1,1,147056.78,12:07,2/22/17,15,9:41,2/22/17,AMC
B,2,2,147138.18,12:01,2/8/17,1,11:22,2/8/17,AMC
E,2,2,148788.12,13:37,2/10/17,3,11:32,2/10/17,AMC
A,2,1,148806.95,11:34,2/20/17,13,11:01,2/20/17,AMC
E,1,2,149885.92,13:36,2/10/17,3,11:32,2/10/17,AMC
A,3,3,149905.95,9:59,2/15/17,8,9:58,2/15/17,AMC
E,2,1,150353.6,11:56,2/9/17,2,10:44,2/9/17,AMC
E,3,1,150881.76,12:24,2/15/17,8,9:58,2/15/17,AMC
A,1,2,151001.09,12:02,2/20/17,13,11:01,2/20/17,AMC
A,2,3,151012.78,13:06,2/10/17,3,11:32,2/10/17,AMC
D,3,2,151154.43,11:55,2/9/17,2,10:44,2/9/17,AMC
A,3,1,151561.39,12:44,2/9/17,2,10:44,2/9/17,AMC
E,3,2,153495.93,13:37,2/10/17,3,11:32,2/10/17,AMC
B,3,3,153861.5,12:03,2/20/17,13,11:01,2/20/17,AMC
F,3,2,154560.64,13:17,2/10/17,3,11:32,2/10/17,AMC
C,3,2,154767.25,13:08,2/20/17,13,11:01,2/20/17,AMC
A,3,3,113651.96,10:10,2/13/17,6,10:08,2/13/17,AMC
C,3,1,155829.51,12:21,2/15/17,8,9:58,2/15/17,AMC
A,3,2,156536.73,13:07,2/8/17,1,11:22,2/8/17,AMC
F,2,3,157581.03,12:57,2/9/17,2,10:44,2/9/17,AMC
A,3,1,158234.2,13:06,2/8/17,1,11:22,2/8/17,AMC
A,3,1,112900.1,11:13,2/13/17,6,10:08,2/13/17,AMC
F,2,2,158900.89,11:26,2/13/17,6,10:08,2/13/17,AMC
C,2,2,158929.34,11:53,2/9/17,2,10:44,2/9/17,AMC
