treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
C,3,3,112816.73,12:04,2/8/17,1,11:22,2/8/17,AMC
A,2,1,112885.47,11:33,2/10/17,3,11:32,2/10/17,AMC
A,3,3,158698.62,10:42,2/13/17,6,10:08,2/13/17,AMC
E,3,1,113135.56,12:30,2/22/17,15,9:41,2/22/17,AMC
F,3,1,113147.64,13:39,2/10/17,3,11:32,2/10/17,AMC
C,1,2,113155.75,13:11,2/9/17,2,10:44,2/9/17,AMC
E,3,3,113292.35,12:56,2/9/17,2,10:44,2/9/17,AMC
C,1,3,113331.41,13:10,2/8/17,1,11:22,2/8/17,AMC
B,3,2,113401.07,12:02,2/8/17,1,11:22,2/8/17,AMC
F,3,1,113451.38,12:17,2/13/17,6,10:08,2/13/17,AMC
D,3,2,113506.29,10:48,2/13/17,6,10:08,2/13/17,AMC
E,3,1,113530.39,10:08,2/15/17,8,9:58,2/15/17,AMC
B,2,3,113532.8,13:32,2/10/17,3,11:32,2/10/17,AMC
A,3,2,154829.15,11:13,2/13/17,6,10:08,2/13/17,AMC
D,3,1,113669.58,12:33,2/8/17,1,11:22,2/8/17,AMC
E,3,2,113699.59,12:06,2/20/17,13,11:01,2/20/17,AMC
F,2,3,113756.13,12:00,2/9/17,2,10:44,2/9/17,AMC
F,3,2,113793.95,11:27,2/15/17,8,9:58,2/15/17,AMC
B,3,1,113926.81,13:06,2/20/17,13,11:01,2/20/17,AMC
F,1,2,114032.64,13:11,2/20/17,13,11:01,2/20/17,AMC
B,3,3,114124.63,11:08,2/20/17,13,11:01,2/20/17,AMC
F,3,1,114148.82,10:35,2/22/17,15,9:41,2/22/17,AMC
B,2,2,114216.88,13:07,2/20/17,13,11:01,2/20/17,AMC
E,3,2,114239.38,11:42,2/20/17,13,11:01,2/20/17,AMC
F,3,2,114253.04,12:25,2/15/17,8,9:58,2/15/17,AMC
B,1,1,114360.71,13:07,2/10/17,3,11:32,2/10/17,AMC
D,3,2,114389.66,10:06,2/15/17,8,9:58,2/15/17,AMC
C,3,2,114478.68,13:13,2/9/17,2,10:44,2/9/17,AMC
C,3,2,114514.82,13:12,2/8/17,1,11:22,2/8/17,AMC
B,3,3,114547.99,9:44,2/22/17,15,9:41,2/22/17,AMC
F,3,1,114596.98,12:25,2/15/17,8,9:58,2/15/17,AMC
D,1,2,181903.2,13:35,2/10/17,3,11:32,2/10/17,AMC
F,3,2,114715.24,12:07,2/20/17,13,11:01,2/20/17,AMC
D,3,2,114733.75,12:05,2/20/17,13,11:01,2/20/17,AMC
B,3,3,114769.06,12:02,2/8/17,1,11:22,2/8/17,AMC
D,2,3,114863.46,12:12,2/13/17,6,10:08,2/13/17,AMC
C,3,1,114886.13,13:11,2/8/17,1,11:22,2/8/17,AMC
D,3,2,114943.41,12:06,2/8/17,1,11:22,2/8/17,AMC
A,3,1,114960.94,9:59,2/15/17,8,9:58,2/15/17,AMC
F,3,2,114989.3,11:46,2/20/17,13,11:01,2/20/17,AMC
C,2,1,115012.27,12:21,2/15/17,8,9:58,2/15/17,AMC
C,1,1,115042.21,13:10,2/8/17,1,11:22,2/8/17,AMC
E,3,2,115134.14,12:55,2/9/17,2,10:44,2/9/17,AMC
D,3,1,115262.72,10:48,2/13/17,6,10:08,2/13/17,AMC
F,3,2,115337.75,12:17,2/13/17,6,10:08,2/13/17,AMC
E,3,1,115456.07,12:35,2/8/17,1,11:22,2/8/17,AMC
C,3,2,115468.37,11:10,2/20/17,13,11:01,2/20/17,AMC
E,3,1,115482.92,13:10,2/20/17,13,11:01,2/20/17,AMC
B,1,3,115503.63,12:25,2/10/17,3,11:32,2/10/17,AMC
D,3,2,115713.52,11:40,2/20/17,13,11:01,2/20/17,AMC
C,3,3,115730.85,11:19,2/13/17,6,10:08,2/13/17,AMC
